"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"106";"U_302_Avg";"1494480630";"Rodrigues";"2017-09-06T12:57:00Z";"2018-03-05T06:26:00Z";"-19.757625";"63.37075";"36"
"107";"DP_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"108";"RECORD";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"109";"RH_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"110";"DHI_005_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"111";"I_202_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"112";"Ind_030_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"113";"GHI_005_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"114";"T_302_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"115";"WD_015_MeanUnitVector";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"116";"UV_030_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"117";"WSm_015_Max";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"118";"I_302_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"119";"Rain_015";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"120";"WS_015_Mean";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"121";"T_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"122";"WD_015_StdDev";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"123";"P_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
"124";"U_530_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-03-11T02:32:00Z";"-19.757625";"63.37075";"36"
