POSTE;DATE;T;FF2;DD2;U;GLO
97413545;2011011113;32.5;0.0;0;;367
97413545;2011011114;29.8;0.0;320;;301
97413545;2011011115;31.2;0.0;250;;301
97413545;2011011116;30.9;0.0;220;;256
97413545;2011011117;25.8;0.0;;;89
97413545;2011011118;27.0;0.0;360;;27
97413545;2011011119;25.7;0.0;360;;39
97413545;2011011120;25.1;0.0;10;;0
97413545;2011011121;23.6;0.0;;;0
97413545;2011011122;24.1;0.0;50;;0
97413545;2011011123;24.5;0.0;60;;0
97413545;2011011200;24.6;0.0;40;;0
97413545;2011011201;23.2;0.0;70;;0
97413545;2011011202;22.7;0.0;100;;0
97413545;2011011203;23.3;1.0;;;0
97413545;2011011204;22.7;1.0;100;;0
97413545;2011011205;22.4;1.0;100;;0
97413545;2011011206;22.6;1.0;;;0
97413545;2011011207;25.0;1.0;;;29
97413545;2011011208;27.1;2.0;160;;128
97413545;2011011209;27.1;0.0;220;;140
97413545;2011011210;27.0;0.0;350;;156
97413545;2011011211;26.7;0.0;350;;58
97413545;2011011212;28.0;0.0;340;;200
97413545;2011011213;27.5;1.0;220;;165
97413545;2011011214;29.9;0.0;260;;255
97413545;2011011215;29.0;1.0;230;;145
97413545;2011011216;29.5;0.0;270;;204
97413545;2011011217;28.6;0.0;320;;118
97413545;2011011218;28.7;0.0;230;;123
97413545;2011011219;26.3;1.0;180;;38
97413545;2011011220;26.0;2.0;;;1
97413545;2011011221;25.5;0.0;260;;0
97413545;2011011222;25.0;1.0;30;;0
97413545;2011011223;24.8;0.0;50;;0
97413545;2011011300;24.7;1.0;50;;0
97413545;2011011301;24.1;0.0;;;0
97413545;2011011302;23.6;0.0;110;;0
97413545;2011011303;22.8;1.0;100;;0
97413545;2011011304;23.0;0.0;90;;0
97413545;2011011305;23.0;0.0;60;;0
97413545;2011011306;24.5;1.0;30;;1
97413545;2011011307;26.5;0.0;50;;28
97413545;2011011308;28.4;0.0;210;;122
97413545;2011011309;;;;;
97413545;2011011310;;;;;
97413545;2011011311;;;;;
97413545;2011011312;;;;;
97413545;2011011313;;;;;
97413545;2011011314;;;;;
97413545;2011011315;;;;;
97413545;2011011316;;;;;
97413545;2011011317;;;;;
97413545;2011011318;;;;;
97413545;2011011319;;;;;
97413545;2011011320;;;;;
97413545;2011011321;;;;;
97413545;2011011322;;;;;
97413545;2011011323;;;;;
97413545;2011011400;;;;;
97413545;2011011401;;;;;
97413545;2011011402;;;;;
97413545;2011011403;;;;;
97413545;2011011404;;;;;
97413545;2011011405;;;;;
97413545;2011011406;;;;;
97413545;2011011407;;;;;
97413545;2011011408;;;;;
97413545;2011011409;;;;;
97413545;2011011410;;;;;
97413545;2011011411;;;;;
97413545;2011011412;;;;;
97413545;2011011413;;;;;
97413545;2011011414;;;;;
97413545;2011011415;;;;;
97413545;2011011416;;;;;
97413545;2011011417;;;;;
97413545;2011011418;;;;;
97413545;2011011419;;;;;
97413545;2011011420;;;;;
97413545;2011011421;;;;;
97413545;2011011422;;;;;
97413545;2011011423;;;;;
97413545;2011011500;;;;;
97413545;2011011501;;;;;
97413545;2011011502;;;;;
97413545;2011011503;;;;;
97413545;2011011504;;;;;
97413545;2011011505;;;;;
97413545;2011011506;;;;;
97413545;2011011507;;;;;
97413545;2011011508;;;;;
97413545;2011011509;;;;;
97413545;2011011510;;;;;
97413545;2011011511;;;;;
